name,cam_id,Cx_ecef,Cy_ecef,Cz_ecef,lat,lon,alt,qw,qx,qy,qz,tx,ty,tz
0001.jpg,1,3941579.794869,509967.823388,4972009.967307,51.55005879,7.37206541,232.836,-0.254520983,0.713347207,-0.618307245,-0.209883258,-152308.183138,13948.382172,6363458.904967
0002.jpg,1,3941581.310866,509968.019811,4972008.733150,51.55004113,7.37206542,232.820,-0.253332249,0.716351047,-0.614892854,-0.211117805,-150966.187085,14164.628548,6363490.396597
0003.jpg,1,3941589.654242,509969.063352,4972001.916777,51.54994386,7.37206490,232.711,-0.252476568,0.717960778,-0.613047929,-0.212038064,-146230.821687,14197.975685,6363600.826003
0004.jpg,1,3941601.082448,509970.493980,4971992.835831,51.54981204,7.37206422,232.761,-0.251790830,0.717564174,-0.613758596,-0.212140097,-136574.194443,20490.731723,6363798.345074
0005.jpg,1,3941616.081185,509972.461611,4971980.785811,51.54963821,7.37206460,232.731,-0.250486500,0.716613653,-0.615469522,-0.211940209,-120071.781201,35964.306741,6364062.500756
0006.jpg,1,3941632.809776,509974.596726,4971967.344701,51.54944439,7.37206418,232.691,-0.248158109,0.716815942,-0.616067118,-0.212258718,-97591.898468,56927.134849,6364293.966801
0007.jpg,1,3941649.036875,509976.660093,4971954.354337,51.54925665,7.37206367,232.690,-0.246251355,0.717119077,-0.616247972,-0.212929416,-76848.144251,70422.681315,6364443.293331
0008.jpg,1,3941666.016442,509978.852235,4971940.752442,51.54906012,7.37206360,232.684,-0.244356148,0.717206440,-0.616690686,-0.213535930,-55339.677474,84422.245749,6364496.418823
0009.jpg,1,3941682.605488,509980.989674,4971927.459265,51.54886810,7.37206347,232.674,-0.243346403,0.717313396,-0.616767311,-0.214107693,-42310.062449,89678.831627,6364524.538267
0010.jpg,1,3941698.929409,509983.074481,4971914.405690,51.54867931,7.37206309,232.685,-0.243085261,0.717033281,-0.616922632,-0.214893685,-31832.526635,85471.862688,6364643.532423
0011.jpg,1,3941715.580736,509985.242440,4971901.063951,51.54848655,7.37206328,232.679,-0.243315062,0.716852289,-0.617014097,-0.214974836,-32083.992153,82461.934816,6364682.042600
0012.jpg,1,3941732.398028,509987.339037,4971887.746455,51.54829284,7.37206215,232.788,-0.243143744,0.717175479,-0.616927375,-0.214338671,-37721.672711,89796.918776,6364552.045178
0013.jpg,1,3941745.905473,509989.063046,4971876.913140,51.54813644,7.37206181,232.772,-0.243029546,0.716721567,-0.617774294,-0.213545679,-40006.425333,98071.945564,6364416.002005
0014.jpg,1,3941755.533179,509991.264388,4971869.216394,51.54802423,7.37207547,232.858,-0.223276029,0.764822675,-0.556655927,-0.235219621,-21920.164616,85346.691425,6364687.480676
0015.jpg,1,3941758.538549,509996.321757,4971866.292887,51.54798235,7.37214221,232.825,-0.123352038,0.910088638,-0.255087511,-0.302412478,-9114.253422,80829.522056,6364777.653424
0016.jpg,1,3941758.501317,510003.404794,4971865.486830,51.54797170,7.37224354,232.736,0.022173514,-0.943319224,-0.041585489,0.328523702,-19098.854544,68911.977929,6364895.627407
0017.jpg,1,3941757.303715,510014.847004,4971865.298414,51.54796868,7.37240934,232.763,0.016900629,-0.942705616,-0.061839825,0.327408500,-40822.540636,45519.619414,6365003.677575
0018.jpg,1,3941756.269518,510024.601956,4971865.195309,51.54796651,7.37255071,232.823,0.019628829,-0.943741291,-0.049402505,0.326383942,-51205.530952,65213.136409,6364757.367225
0019.jpg,1,3941752.727193,510030.554177,4971867.398736,51.54799818,7.37264236,232.839,-0.091983785,-0.871541558,-0.360857246,0.318961352,-29701.829173,62172.247240,6364924.474976
0020.jpg,1,3941747.818513,510032.073254,4971870.969139,51.54805102,7.37267316,232.729,-0.194532972,-0.698197115,-0.632456414,0.273270188,-30477.875410,70476.146402,6364834.147577
0021.jpg,1,3941741.130091,510031.324853,4971876.174285,51.54812748,7.37267483,232.621,-0.224635567,-0.618144776,-0.711494669,0.247409041,-42228.929577,44271.252881,6365003.107233
